日期,广告形式,产品,展现量,点击量,点击率,总加购数,转化率,ROI,总订单行,总订单金额,总费用,是否为钻展广告,是否为超级推荐广告,是否为直通车广告,是否为品销宝广告,点击率/转化率,销售额/ROI,点击量/展现量,加购数/点击量,订单数/加购数
2021-01-09,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-10,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-11,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-12,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-13,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-14,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-15,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-16,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-17,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-18,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-19,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-20,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-21,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-22,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2021-01-23,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
